Run ID,Date,Total,Passed,Failed,Skipped,Timed Out,Pass Rate (%),Duration (ms)
"9d1b7de1-30ea-478f-a92f-139da5e1bc79","6/12/2026, 2:15:04 AM",4,4,0,0,0,100,1412.386
"3764bb89-a0a3-489d-8acf-08bac2400c31","6/12/2026, 12:15:04 AM",4,4,0,0,0,100,1403.6039999999998
"61d6a6d5-8dea-42b4-acb1-f0ab99f179fe","6/11/2026, 10:15:04 PM",4,4,0,0,0,100,1475.9450000000002
"757bfa0f-84c1-4225-be3b-b19d81266661","6/11/2026, 8:15:04 PM",4,4,0,0,0,100,1749.06
"0f7adcf2-8565-4082-901b-c08fa356f932","6/11/2026, 6:15:03 PM",4,4,0,0,0,100,1548.7590000000002
"d7c02fe7-f52d-45c9-914d-1d563e78740e","6/11/2026, 4:15:04 PM",4,4,0,0,0,100,1497.894
"984652ef-1290-4bea-92cb-46dd1ec95b18","6/11/2026, 2:15:04 PM",4,4,0,0,0,100,1596.356
"5c3f8a5f-d923-4979-8c69-ce656708472c","6/11/2026, 12:15:04 PM",4,4,0,0,0,100,1475.5569999999998
"cc17aa58-0a83-47f8-aecf-1e1606288e9f","6/11/2026, 10:15:03 AM",4,4,0,0,0,100,1463.297
"0bf9aba1-a7cc-4a39-9305-7e1a903b5986","6/11/2026, 8:15:04 AM",4,4,0,0,0,100,1441.213
"d34cf31b-7f5f-4df0-88b5-7630e174a964","6/11/2026, 6:15:04 AM",4,4,0,0,0,100,1259.192
"2e4f89a9-b782-45cf-9467-6529e22ef993","6/11/2026, 4:15:03 AM",4,4,0,0,0,100,1499.304
"5dbb91ff-02ee-40bd-a512-99e2e6370875","6/11/2026, 2:15:04 AM",4,4,0,0,0,100,1427.652
"66a20215-98a4-463b-bb1e-239a70ae1cf1","6/11/2026, 12:15:04 AM",4,4,0,0,0,100,3165.015
"8507e62b-0acd-4eee-b60d-21d2c2b43a20","6/10/2026, 10:15:04 PM",4,4,0,0,0,100,2751.785
"9cadb84f-4615-4eb5-aee9-3d7230532f86","6/10/2026, 8:15:04 PM",4,4,0,0,0,100,2449.589
"871a87f1-f31b-4d47-a6a3-26b8e830761b","6/10/2026, 6:15:04 PM",4,4,0,0,0,100,1565.299
"23c72906-7448-42b1-bda5-51908315da40","6/10/2026, 4:15:04 PM",4,4,0,0,0,100,1526.5010000000002
"b74943ff-1580-450b-a530-584474423686","6/10/2026, 2:15:04 PM",4,4,0,0,0,100,1464.9140000000002
"9a86f100-61bb-4036-b4f5-c19fd557925c","6/10/2026, 12:15:03 PM",4,4,0,0,0,100,1395.257
